cd_cnpj;nu_ordem;cd_ramo_atividade;de_ramo_atividade;chave_cnae
12305448000100;0;1093701;AGENCIAS MATRIMONIAIS;10
12305448000100;1;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
12305448000100;2;7319003;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES;73
12305448000100;3;8230001;MARKETING DIRETO;82
12305448000100;4;9609202;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;96
14180365000150;0;4530706;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS;45
14180365000150;1;4542101;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MOTOCICLETAS E MOTONETAS, PECAS E ACESSORIOS;45
14180365000150;2;4613300;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES;46
05610297000120;0;4782201;COMERCIO VAREJISTA DE CALCADOS;47
15044857000180;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;96
15028623000140;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
15028623000140;1;9329899;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;93
07297742000170;0;4520001;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
07297742000170;1;4520002;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;45
07297742000170;2;4520003;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;45
07297742000170;3;4520004;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;45
07297742000170;4;4530703;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;45
15291845000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
15291845000150;1;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
15090404000190;0;1412601;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;14
15090404000190;1;1412603;FACCAO DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;14
90400888251650;0;6422100;BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL;64
12254288000100;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
12254288000100;1;4530704;COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES;45
04226709000160;0;4633801;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS;46
16679748000100;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
16679748000100;1;9491000;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;94
16679748000100;2;9493600;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;94
16679748000100;3;9499500;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
07793444000170;0;4222701;CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO;42
07793444000170;1;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
03220549000180;0;4712100;COMERCIO VAREJISTA DE BEBIDAS;47
03220549000180;1;4723700;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
01687525000100;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
01687525000100;1;9493600;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;94
01687525000100;2;9499500;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;94
11772974000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
11772974000100;1;4782201;COMERCIO VAREJISTA DE CALCADOS;47
11772974000100;2;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
05850538000290;0;8219901;FOTOCOPIAS;82
86396371000150;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
52792652000100;0;4530701;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
15818386000110;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
01498181000190;0;4530705;COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR;45
80495856000700;0;7420003;LABORATORIOS FOTOGRAFICOS;74
02186486000120;0;4744001;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;47
65070146000230;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;47
02053352000130;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;47
06319255001170;0;0210107;EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS;02
06319255001170;1;0210108;EXTRACAO DE MADEIRA EM FLORESTAS PLANTADAS;02
06319255001170;2;0220901;PRODUCAO DE CARVAO VEGETAL  FLORESTAS NATIVAS;02
